videoId,comments/views
a70Y6VVvgrI,0.000748227786283617
6WAxPPRwMcA,0.0003119613306292073
_pHImgDOWuY,0.000487069124084906
eqKaPXvwb2E,0.0005013054830287206
okin5POLNaA,0.0010119821229220953
Yy_A2L-Z0Hs,0.0004108329929067479
yBNd9etHb74,0.0009449394481018752
QCp_buQwPHY,0.00025385331293886255
QL1-vAVjDYk,0.0011170370045886129
gNMnXQL0GDU,0.0004027086953916222
FKQAR8S7a-8,0.006979030614441749
OnJJHosJVBM,0.000320479302097284
2ZTxgXa5_ZI,0.00039981508552294564
ARn-f3se_Q8,0.0010193050193050193
7DGyFX0YHdU,0.0021017950465803226
IhOFcMaLUFM,0.0005031446540880503
EPIBoE0sfyM,0.0004927246762990315
8R-7JLYWWlM,0.008564295786042855
dT_cuB3w_Vc,0.00045271267976289704
0sGQYeKu19Q,0.0005148363682257461
zyG7EqG_5-A,0.0001654894350040244
wZywsWFpM0s,0.0004984480751821357
LHhYxKaYcdU,0.0002808594298553574
Z-gylDndHOI,0.0003513560994067487
lVIUzKiZfms,0.00029441153695946665
ihB_XI9fvqU,0.0014068052604509689
McSpmnIRA2M,0.00015694677662550017
9azxsHKau8k,0.00036065770851206836
sYVkTWzmCWo,0.0005226105414618502
yvoz3xUngrU,0.00042553701572688917
GXYTOMriw50,0.0008864673196255216
nxzMkpNxau4,0.0002857794330014441
X610M7Wse6I,0.0006124424600430686
3w0YrNV0CfI,0.00036003981616790565
mYIMXl7OIBw,0.0005850453410139285
SC_2Rd0rDG8,0.0027435318631706894
dlOHKcqSyrA,0.0005121521823627592
S-M1_WpmyJA,0.0010699864158246338
QmSl2rco3B4,0.0006148780900073736
MxhA4VWmvD8,0.0005470617028015318
M6PQdne_YvU,0.00035890612416401136
cP4tUqESUMw,0.000323413316191758
Z1nsaa_C2R4,0.00043059625620477245
_bKzQHy_OBA,0.0006706472827968155
PxSIgVL05FQ,0.0005986743639084883
9q1WYR5MYpE,0.0048722390645301
BrI2oW5pVLE,0.0002543701627969042
smtBUVcGAtM,0.002270368448365335
sRHmN6PR3eY,0.0009656004828002414
eHrJCFHPqts,0.0007292616226071103
qTcbmj9BzZ8,0.0010067310506292068
d7odXAOfxTk,0.0029275399411342004
QH2qtiasMDE,0.0003418024381907258
0pUm1Ke6FqE,0.0002718129926610492
rfVRVyxo8hQ,0.000524115118974132
LUacBgCstYY,0.0003467010734567414
wHvHXqwvr_s,0.0008703635258068747
uH7lTCiJCpo,0.0011191813987483441
bnJUTEJylgU,0.0019898022634000745
Edls5YYR4cw,0.0006131896224133761
v0zSlVEAPbE,0.0008352563104322097
t7BbVQR3jqQ,0.0006980807496147416
Da4FR1dzpt0,0.0002796091358606075
atWVho72opo,0.0007045423410376343
7UTnXkNx81M,0.0009126863401277761
zZ_9GBxsr4Q,0.0029455081001472753
p0Wg6C0AEt8,0.0012902566460992093
-Y1z3W-8Jg8,0.001319137613784988
XiUbeMuz_-A,0.001173941798941799
NwQEHNJ6gkg,0.000736494924589324
2LQPZCapjHs,0.0011796871747186098
Rb0QdmUa-s0,0.0013182086238595762
2Zhoef3GdMU,0.0008548787558912297
dRau-Dj3i0U,0.0015816826090231228
-p-KB_G0SCk,0.001827951033069296
nWpEy_1oDF0,0.0003684488005943109
HRUAgPVj_xc,0.00026415511768805637
ky9SatRoyCY,0.00039713976737628504
0NiGayoNKnk,0.0005775005775005775
7FIqt_wB_4M,0.00034126888828499746
Q5LSM6wY2VA,0.0006792654229640231
xRNFPRZ3GCg,0.0010496007262102323
A_FR9CbIv8g,0.0041924614058459365
7Gasxo-TMkM,0.0008091051297265225
zjUcINVLZ_U,0.0010574712643678162
D9vsHdCCGuQ,0.000994013328815091
CNefVOt2quA,0.0007845444738648623
qywFe60_oko,0.002749230869935197
CjNs4IOoZO4,0.0007062440280835861
f0mRHgjd3_o,0.0006905006834547581
wfoUi2nsKWs,0.0007336868140595572
8s4kTm788pY,0.0008655402099875814
74jE8tX6PZk,0.0005904212829507172
JQDckU2xDkU,0.0005076142131979696
uZABN17FZ6w,0.0006268738075769965
BB7g8wSd6kk,0.00046190709893472674
TqAsQg-ts70,0.0021257212268448226
FzWOEaFArKk,0.002674750356633381
uoHbIXAq-Hs,0.0019943318988138972
GygdLI6EEUc,0.0005731315910132966
5hqJrFvYpdE,0.001341741580571582
ib3r6mPD3aY,0.0005340727604503842
